Calculate likelyhood with base = edge	method = const
Test	FailsAt	Rank
1	(75,)	5	55
2	(63,)	5	55
3	(120,)	11	55
4	(79,)	4	55
5	(118,)	9	54
6	(104,)	10	55
7	(51,)	13	55
8	(53,)	42	55
9	(89,)	23	55
10	(105, 111)	6	55
11	(106, 113, 136, 139)	6	52
12	(118,)	>55	55
13	(10,)	>55	55
14	(11,)	>55	55
15	(12, 118)	9	54
16	(50,)	37	55
17	(51,)	13	55
18	(52,)	13	55
19	(53,)	14	55
20	(72,)	24	55
21	(72,)	23	55
22	(72,)	12	55
23	(90,)	16	55
24	(90,)	19	55
25	(97,)	1	55
26	(118,)	10	54
27	(118,)	9	54
28	(63,)	>55	55
29	(63,)	4	52
30	(63,)	7	52
31	(76, 81, 128)	8	57
32	(94, 99, 129)	6	57
33	(50, 51, 52, 53)	17	55
34	(124,)	1	55
35	(63,)	>55	55
36	(46,)	>55	55
37	(58,)	>55	55
38	(27,)	>55	55
39	(97,)	1	55
40	(75, 126)	25	52
41	(79,)	6	54
