Calculate likelyhood with base = node	method = const
Test	FailsAt	Rank
1	(75,)	4	55
2	(63,)	2	55
3	(120,)	23	55
4	(79,)	1	55
5	(118,)	15	54
6	(104,)	13	55
7	(51,)	19	55
8	(53,)	37	55
9	(89,)	19	55
10	(105, 111)	10	55
11	(106, 113, 136, 139)	10	52
12	(118,)	14	55
13	(10,)	>55	55
14	(11,)	>55	55
15	(12, 118)	15	54
16	(50,)	28	55
17	(51,)	19	55
18	(52,)	19	55
19	(53,)	19	55
20	(72,)	17	55
21	(72,)	18	55
22	(72,)	17	55
23	(90,)	20	55
24	(90,)	22	55
25	(97,)	2	55
26	(118,)	16	54
27	(118,)	15	54
28	(63,)	1	55
29	(63,)	16	52
30	(63,)	15	52
31	(76, 81, 128)	3	57
32	(94, 99, 129)	2	57
33	(50, 51, 52, 53)	23	55
34	(124,)	13	55
35	(63,)	1	55
36	(46,)	>55	55
37	(58,)	2	55
38	(27,)	>55	55
39	(97,)	2	55
40	(75, 126)	21	52
41	(79,)	5	54
